,Protocol name,Nativ,Siemens_1,Siemens_2,Siemens_3,Siemens_4,Siemens_5,Siemens_6,Siemens_7,Siemens_8,Siemens_9,Siemens_10,Siemens_11,Siemens_12,Siemens_13,Siemens_14
34,MR CCCDCL1: Prolaps,Nativ,,Sag T2 TSE,Sag T1 TSE,Sag T2 3D Space,Cervical: Tra T2 Me2d,Thoracalt: Tra T2 TSE (aktuelt område),Lumbalt: Tra T2 TSE (aktuelt område),,,,,,,
35,MR CCCDCL2: Traume,Nativ,Sag T1 TSE,Sag T2 TSE,Sag  T2 fl2d(hemo),Sag T2 STIR,Tra TSE T1 (aktuelt område),Tra TSE T2 (aktuelt område),Dersom funn Sag T2* fl2d (hemo):,Tra T2* fl2d  (hemo),Evnt Sag T2 Space,,,,,
36,MR CCCD3: Demyeliniserende sykdom,Prekontrast,Sag T2,TSE,,,,,,,,,,,,
37,MR CCCD4: Syrinx,Nativ,Sag T1 TSE,Sag T2 TSE,Evnt;,Tra T2 TSE,(aktuelt område),,,,,,,,,
38,MR CCCDCL5: Tumor ,Prekontrast,Sag T1 TSE,Sag T2 TSE,Tra T1 TSE (i aktuelt område),Tra T2 TSE (i aktuelt område),,,,,,,,,,
39,MR CCCDCL6: Postoperativ arrvev/prolaps,Prekontrast,Sag T1 TSE,Sag T2 TSE,Tra T1 TSE (kirurgisk nivå),,,,,,,,,,,
40,MR CCCDCL7: Infeksjon/abscess,Prekontrast,Sag T1 Dixon,Sag T2 TSE Dixon,I aktuelt område:,Tra T2 TSE,,,,,,,,,,
41,MR CCCDCL8: Primær bentumor,Prekontrast,Sag T1 SE,Sag T2 TSE,Dixon,Tra T2 TSE,Dixon,(i aktuelt område),Tra T1 TSE,(i aktuelt område),,,,,,
42,MR CCCD9: Columna/medulla infarkt,Prekontrast,Sag T2 TSE, 3mm,Sag T1 TSE Dixon, 3mm,Sag T2 STIR, 3mm,Sag DWI (b50 og b600), 3mm,Dersom funn:,Tra T1 TSE Dixon, 3.5mm (aktuelt område),,,
43,MR CCCDCL10: Intramedullær/vaskulær malformasjon,Prekontrast,Sag T1 TSE,Sag T2 TSE,Sag T2 fl 2d,(T2*),Myelografi,,,,,,,,,
44,MR CCCDCL11: Columna drop,Prekontrast,Sag T1 TSE,hele columna,,,,,,,,,,,,
45,MR CCCDCL12: Metastase/ Medullakompresjon ,Nativ,Sag T2 TSE Dixon,Aktuelt nivå ved,medullakompresjon:,Tra T2 TSE,konf. radiolog,,,,,,,,,
46,MR CCCDCL13: Screening,Nativ,,Sag T2 3D Space,Spinalvæskelekkasje:,I mistenkt nivå:,Tra T2 TSE FS,,,,,,,,,
47,MR CCCDCL14: Araknoiditt,Prekontrast,Sag  T1 TSE,Sag T2 TSE,I aktuelt område:,Tra T1 TSE,Tra T2 TSE,,,,,,,,,
48,MR CCCD15: Epidural lipomatose,Nativ,Sag T1 TSE,Sag T2 TSE Dixon,I aktuelt område:,Tra T2 TSE,Tra T1 TSE,,,,,,,,,
49,MR CCCDCL16: Myelografi,Prekontrast,Sag T1 3D Vibe Dixon (FS),,,,,,,,,,,,,
50,MR CCCDCL17: Før vertebroplastikk ,Nativ,,Sag T2 STIR,Dersom biopsi:,Tra T2 i aktuelle område,,,,,,,,,,
51,MR CCCDCL 18: Myelitt.Polyradiculitt,Prekontrast,Sag T1 TSE  Dixon,Sag T2 TSE,Aktuelt område:,Tra T1 TSE Dixon,(fra L5-L1),konf. radiolog,,,,,,,,
52,MR CCD19: Demyeliniserende sykdom uten iv kontrast,Nativ,Sag T2 TSE,,,,,,,,,,,,,
53,MR CC21: Cervicalcolumna Neuroswing ,Nativ,Neutral stilling av c.col:,Loc,Sag T1 TSE,Sag T2 TSE,Haste Myelo,Tra T2 me2d,Antefleksjon:,Loc,Sag T2 3D Space,Haste Myelo,Retrofleksjon:,Loc,Sag T2 3D Space,Haste Myelo
54,MR CC 22: Craniocervikal overgang. Alare ligament (MRCCALARELIGAMENT),Nativ,Sag TSE PD DIXON 2 mm,Cor TSE PD 2 mm,Tra TSE PD 2 mm,Cor TSE T2 DIXON 2 mm,,,,,,,,,,
55,MR CLP: MODIC-studien Lumbalcolumna (MRCLMODIC),Nativ,Sagittal snittføring,,,,,,,,,,,,,
56,MR PB1: Plexus brachialis. Standard,Nativ,Cor T2,3D,STIR,Cor T1 3D Space,Cor T2 3D Space,,,,,,,,,
57,MR PB2: Plexus brachialis traume,Nativ,Cor T2 3D STIR Space,Cor T1 3D Space,Cor T2 3D Space,Myelo,,,,,,,,,,
58,MR PB3: Plexus brachialis tumor,Prekontrast,Cor T2,3D,STIR,Cor T1 3D Space,Cor T2 3D Space,,,,,,,,,
59,MR PL1: Plexus lumbosacralis standard,Nativ,Cor T1 3D Vibe Dixon,Cor T2 3D Space STIR,Konf. radiolog.,Dersom meralgia paresthetica: lateral cuteaneous femoral nerve kan være affisert.,Eller nerveutfall fremre del av lår; da skal følgende sekvenser også tas:,TraT2 Space STIR,,,,,,,,
60,MR PL2: Plexus lumbosacralis traume,Nativ,Cor T1 3D Vibe Dixon,Cor T2 3D STIR Space,,,,,,,,,,,,
61,MR PL3: Plexus lumbosacralis tumor,Prekontrast,Cor T1 3D Vibe Dixon,Cor T2 3D STIR Space,Konf. radiolog.,Dersom meralgia paresthetica: lateral cuteaneous femoral nerve kan være affisert.,Eller nerveutfall fremre del av lår; da skal følgende sekvens også tas:,Tra T2 3D STIR Space,,,,,,,,
